ID,施設名,施設名フリガナ,施設種別,区・町名,住所,緯度,経度
466,東志賀小学校,ヒガシシガショウガッコウ,地下式給水栓,名古屋市北区,志賀町4丁目,35.20258838,136.9156185
467,杉村小学校,スギムラショウガッコウ,地下式給水栓,名古屋市北区,長田町3丁目,35.19193618,136.9226783
468,楠小学校,クスノキショウガッコウ,地下式給水栓,名古屋市北区,池花町,35.23193181,136.9198827
469,上名古屋小学校,カミナゴヤショウガッコウ,地下式給水栓,名古屋市西区,上名古屋三丁目,35.19460639,136.894641
470,（旧）那古野小学校,キュウナゴノショウガッコウ,地下式給水栓,名古屋市西区,那古野二丁目,35.1763154,136.8870132
471,岩塚小学校,イワツカショウガッコウ,地下式給水栓,名古屋市中村区,岩塚町4丁目,35.15610283,136.8464017
472,ほのか小学校,ホノカショウガッコウ,地下式給水栓,名古屋市中村区,松原町1丁目,35.17339951,136.8717832
473,諏訪小学校,スワショウガッコウ,地下式給水栓,名古屋市中村区,諏訪町2丁目,35.17839795,136.8544513
474,中村小学校,ナカムラショウガッコウ,地下式給水栓,名古屋市中村区,中村町1丁目,35.17410271,136.8588864
475,千成小学校,センナリショウガッコウ,地下式給水栓,名古屋市中村区,日之宮町1丁目,35.1621968,136.8590591
476,鶴舞小学校,ツルマイショウガッコウ,地下式給水栓,名古屋市昭和区,鶴舞一丁目,35.1530391,136.9226788
477,伊勝小学校,イカツショウガッコウ,地下式給水栓,名古屋市昭和区,伊勝町2丁目,35.15474273,136.9590382
478,陽明小学校,ヨウメイショウガッコウ,地下式給水栓,名古屋市瑞穂区,密柑山町1丁目,35.13092919,136.9483874
479,露橋小学校,ツユハシショウガッコウ,地下式給水栓,名古屋市中川区,露橋一丁目,35.14993019,136.8877146
480,昭和橋小学校,ショウワバシショウガッコウ,地下式給水栓,名古屋市中川区,中野新町7丁目,35.12574225,136.8708604
481,常磐小学校,トキワショウガッコウ,地下式給水栓,名古屋市中川区,小本一丁目,35.14831232,136.862016
482,篠原小学校,シノハラショウガッコウ,地下式給水栓,名古屋市中川区,丸米町1丁目,35.13479694,136.8720383
483,中川小学校,ナカガワショウガッコウ,地下式給水栓,名古屋市港区,辰巳町,35.11253202,136.8873143
484,呼続小学校,ヨビツギショウガッコウ,地下式給水栓,名古屋市南区,呼続四丁目,35.10785734,136.932662
485,宝小学校,タカラショウガッコウ,地下式給水栓,名古屋市南区,中割町2丁目,35.08789456,136.9168585
486,小幡北小学校,オバタキタショウガッコウ,地下式給水栓,名古屋市守山区,小幡北,35.21524711,136.9860421
487,旭出小学校,アサヒデショウガッコウ,地下式給水栓,名古屋市緑区,旭出一丁目,35.08618949,136.9634135
488,相原小学校,アイバラショウガッコウ,地下式給水栓,名古屋市緑区,若田一丁目,35.07726911,136.9655085
489,黒石小学校,クロイシショウガッコウ,地下式給水栓,名古屋市緑区,黒沢台二丁目,35.10124451,136.9984221
490,滝ノ水小学校,タキノミズショウガッコウ,地下式給水栓,名古屋市緑区,滝ノ水一丁目,35.09109761,136.9782935
491,徳重小学校,トクシゲショウガッコウ,地下式給水栓,名古屋市緑区,徳重二丁目,35.08791254,137.0020014
492,桶狭間小学校,オケハザマショウガッコウ,地下式給水栓,名古屋市緑区,有松町大字桶狭間字巻山,35.05574264,136.9688442
493,常安小学校,ジョウアンショウガッコウ,地下式給水栓,名古屋市緑区,乗鞍一丁目,35.0938128,136.9937246
494,戸笠小学校,トガサショウガッコウ,地下式給水栓,名古屋市緑区,相川三丁目,35.10170434,136.9753643
495,梅森坂小学校,ウメモリザカショウガッコウ,地下式給水栓,名古屋市名東区,梅森坂四丁目,35.14260298,137.0210176
496,野並小学校,ノナミショウガッコウ,地下式給水栓,名古屋市天白区,野並一丁目,35.10852434,136.9562975
497,原小学校,ハラショウガッコウ,地下式給水栓,名古屋市天白区,原五丁目,35.12001296,136.9951667
498,如意小学校,ニョイショウガッコウ,地下式給水栓,名古屋市北区,如意三丁目,35.23868701,136.9254068
